Date,Open Price,High Price,Low Price,Close Price,Adj Close Price,Volume
6/24/2015,127.209999,129.800003,127.120003,128.110001,118.067299,55280900
6/25/2015,128.860001,129.199997,127.5,127.5,117.505127,31938100
6/26/2015,127.669998,127.989998,126.510002,126.75,116.813896,44066800
6/29/2015,125.459999,126.470001,124.480003,124.529999,114.767921,49161400
6/30/2015,125.57,126.120003,124.860001,125.43,115.597382,44370700
7/1/2015,126.900002,126.940002,125.989998,126.599998,116.675667,30238800
7/2/2015,126.43,126.690002,125.769997,126.440002,116.528198,27211000
7/6/2015,124.940002,126.230003,124.849998,126,116.122704,28060400
7/7/2015,125.889999,126.150002,123.769997,125.690002,115.837006,46946800
7/8/2015,124.480003,124.639999,122.540001,122.57,112.961594,60761600
7/9/2015,123.849998,124.059998,119.220001,120.07,110.65757,78595000
7/10/2015,121.940002,123.849998,121.209999,123.279999,113.615921,61354500
7/13/2015,125.029999,125.760002,124.32,125.660004,115.809349,41440500
7/14/2015,126.040001,126.370003,125.040001,125.610001,115.76326,31768100
7/15/2015,125.720001,127.150002,125.580002,126.82,116.878418,33649200
7/16/2015,127.739998,128.570007,127.349998,128.509995,118.435951,36222400
7/17/2015,129.080002,129.619995,128.309998,129.619995,119.458923,46164700
7/20/2015,130.970001,132.970001,130.699997,132.070007,121.716888,58900200
7/21/2015,132.850006,132.919998,130.320007,130.75,120.500343,76756400
7/22/2015,121.989998,125.5,121.989998,125.220001,115.403839,115450600
7/23/2015,126.199997,127.089996,125.059998,125.160004,115.348526,50999500
7/24/2015,125.32,125.739998,123.900002,124.5,114.740288,42162300
7/27/2015,123.089996,123.610001,122.120003,122.769997,113.145889,44455500
7/28/2015,123.379997,123.910004,122.550003,123.379997,113.708076,33618100
7/29/2015,123.150002,123.5,122.269997,122.989998,113.34864,37011700
7/30/2015,122.32,122.57,121.709999,122.370003,112.777275,33628300
7/31/2015,122.599998,122.639999,120.910004,121.300003,111.79113,42885000
8/3/2015,121.5,122.57,117.519997,118.440002,109.155342,69976000
8/4/2015,117.419998,117.699997,113.25,114.639999,105.653229,124138600
8/5/2015,112.949997,117.440002,112.099998,115.400002,106.353653,99312600
8/6/2015,115.970001,116.5,114.120003,115.129997,106.585083,52903000
8/7/2015,114.580002,116.25,114.5,115.519997,106.946136,38670400
8/10/2015,116.529999,119.989998,116.529999,119.720001,110.834412,54951600
8/11/2015,117.809998,118.18,113.330002,113.489998,105.066818,97082800
8/12/2015,112.529999,115.419998,109.629997,115.239998,106.686913,101217500
8/13/2015,116.040001,116.400002,114.540001,115.150002,106.6036,48535800
8/14/2015,114.32,116.309998,114.010002,115.959999,107.353477,42929500
8/17/2015,116.040001,117.650002,115.5,117.160004,108.464417,40884700
